,date,line,tweet,stop,restart,tweet_preprocess
0,2016-10-14 07:14:30-04:00,stm_Jaune,"Aujourd’hui, le métro de Montréal célèbre ses 50 ans! Joignez-vous à nous en cette journée spéciale de célébrations!  http://ow.ly/QDXE305b24y http://",0,0,aujourd’hui métro montréal célèbre joignez-vous nous cette journée spéciale célébrations
1,2016-10-19 05:40:59-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Personne non autorisée sur rails. Reprise prévue vers 5h55.  #STM  J,1,0,arrêt ligne entre longueuil berri-uqam personne autorisée rails reprise prévue vers
2,2016-10-19 05:53:36-04:00,stm_Jaune,Service normal du métro  #STM  J,0,1,service normal métro
3,2016-11-15 14:25:53-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 14h59.  #STM  X 2,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement reprise prévue vers
4,2016-11-15 14:54:26-05:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #STM  W,0,1,service normal métro ligne
5,2016-11-16 10:32:49-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 11h05.  #STM  H,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement reprise prévue vers
6,2016-11-16 10:54:26-05:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #STM  N,0,1,service normal métro ligne
7,2016-11-28 09:44:23-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 10h16.  #STM  L 2,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement reprise prévue vers
8,2016-11-28 09:53:09-05:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #STM  J 1,0,1,service normal métro ligne
9,2016-11-29 20:56:10-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 21h30.  #STM  Z,1,0,arrêt ligne entre longueuil berri-uqam inter services d'urgence reprise prévue vers
10,2016-11-29 21:00:09-05:00,stm_Jaune,Service normal du métro  #STM  H,0,1,service normal métro
11,2016-12-01 19:56:32-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 20h29.  #STM  A 4 1,1,0,arrêt ligne entre longueuil berri-uqam inter services d'urgence reprise prévue vers
12,2016-12-01 20:04:13-05:00,stm_Jaune,Service normal du métro  #STM  U,0,1,service normal métro
13,2017-03-16 00:02:00-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 0h34.  #stminfo  N 1 1,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement reprise prévue vers
14,2017-03-16 00:09:32-04:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #stminfo  C 1 1,0,1,service normal métro ligne
15,2017-03-20 05:43:50-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Panne de train. Reprise prévue vers 6h10.  #stminfo  B 2,1,0,arrêt ligne entre longueuil berri-uqam panne train reprise prévue vers
16,2017-03-20 06:14:17-04:00,stm_Jaune,Arrêt prolongé ligne JAUNE entre Longueuil et Berri-UQAM. Panne de train. Reprise prévue vers 6h25.  #stminfo  L 1 3,1,0,arrêt prolongé ligne entre longueuil berri-uqam panne train reprise prévue vers
17,2017-03-20 06:14:17-04:00,stm_Jaune,Arrêt prolongé ligne JAUNE entre Longueuil et Berri-UQAM. Panne de train. Reprise prévue vers 6h25.  #stminfo  L 1 3,1,0,arrêt prolongé ligne entre longueuil berri-uqam panne train reprise prévue vers
18,2017-03-20 06:22:17-04:00,stm_Jaune,Service normal du métro  #stminfo  P 2 2,0,1,service normal métro
19,2017-03-20 06:22:17-04:00,stm_Jaune,Service normal du métro  #stminfo  P 2 2,0,1,service normal métro
20,2017-03-21 09:44:52-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 9h57.  #stminfo  X 1 1 1,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement reprise prévue vers
21,2017-03-21 09:47:17-04:00,stm_Jaune,Service normal du métro  #stminfo  F 2,0,1,service normal métro
22,2017-03-29 09:38:10-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 10h10.  #stminfo  J 5 1,1,0,arrêt ligne entre longueuil berri-uqam inter services d'urgence reprise prévue vers
23,2017-03-29 09:43:59-04:00,stm_Jaune,Interruption de service en raison d'un dégagement de fumée. Équipes sur place travaillent à rétablir le service le plus rapidement possible. 13 6,1,1,interruption service raison d'un dégagement fumée équipes place travaillent rétablir service plus rapidement possible
24,2017-03-29 10:16:35-04:00,stm_Jaune,Le service est rétabli sur la ligne Jaune  #stminfo 5 3,0,1,service rétabli ligne jaune
25,2017-03-29 10:20:41-04:00,stm_Jaune,Service normal du métro  #stminfo  Y 2,0,1,service normal métro
26,2017-05-06 12:48:49-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 13h19.  #stminfo  C,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement reprise prévue vers
27,2017-05-06 12:50:46-04:00,stm_Jaune,Service normal du métro  #stminfo  V,0,1,service normal métro
28,2017-06-09 15:17:07-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 16h18.  #stminfo  U 1 11 8,1,0,arrêt ligne entre longueuil berri-uqam inter services d'urgence reprise prévue vers
29,2017-06-09 15:38:49-04:00,stm_Jaune,Interruption de service sur la ligne jaune en raison d’une intervention policière.  #stminfo 1 3,1,0,interruption service ligne jaune raison d’une intervention policière
30,2017-06-09 16:03:05-04:00,stm_Jaune,Service normal du métro  #stminfo  W 1,0,1,service normal métro
31,2017-06-09 16:05:44-04:00,stm_Jaune,Reprise du service sur la ligne jaune.  #stminfo 8 3,1,0,reprise service ligne jaune
32,2017-07-19 06:54:52-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 7h17.  #stminfo  I 8,1,0,arrêt ligne entre longueuil berri-uqam inter services d'urgence reprise prévue vers
33,2017-07-19 07:16:27-04:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #stminfo  Q 6,0,1,service normal métro ligne
34,2017-07-19 15:12:25-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement sur la voie. Reprise prévue vers 15h39.  #stminfo  T 3,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement voie reprise prévue vers
35,2017-07-19 15:20:26-04:00,stm_Jaune,Service normal du métro  #stminfo  U,0,1,service normal métro
36,2017-09-23 01:02:07-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement sur la voie. Reprise prévue vers 1h27.  #stminfo  T,1,0,arrêt ligne entre longueuil berri-uqam problème d'équipement voie reprise prévue vers
37,2017-09-23 01:48:06-04:00,stm_Jaune,Service normal du métro  #stminfo  E,0,1,service normal métro
38,2017-10-19 08:48:48-04:00,stm_Verte,"Bonjour, les ralentissements sont annoncés via des annonces sonores en station. Sur nos outils sont diffusées les interrupt. de 10 m et +. 1",0,0,bonjour ralentissements sont annoncés annonces sonores station outils sont diffusées interrupt
39,2017-10-19 09:13:19-04:00,stm_Verte,"Bonjour, vous avez une question? Il nous fera plaisir de vous répondre.",0,0,bonjour vous avez question nous fera plaisir vous répondre
40,2017-10-21 13:21:45-04:00,stm_Verte,Arrêt ligne VERTE entre Angrignon et L-Groulx. Frein d'urgence actionné. Reprise prévue vers 13h40.  #stminfo  Z 1,1,0,arrêt ligne entre angrignon l-groulx frein d'urgence actionné reprise prévue vers
41,2017-10-21 13:27:52-04:00,stm_Verte,Service normal du métro  #stminfo  S 1 1,0,1,service normal métro
42,2017-10-27 14:50:23-04:00,stm_Verte,Arrêt ligne VERTE entre Angrignon et L-Groulx. Personne non autorisée sur la voie. Reprise prévue vers 15h00.  #stminfo  R 1,1,0,arrêt ligne entre angrignon l-groulx personne autorisée voie reprise prévue vers
43,2017-10-27 15:04:27-04:00,stm_Verte,Service normal du métro  #stminfo  I 1,0,1,service normal métro
44,2017-10-27 15:21:46-04:00,stm_Verte,"Bonjour, l'interruption de service est maintenant terminée, le service régulier reprend graduellement sur la ligne verte, merci!",1,0,bonjour l'interruption service maintenant terminée service régulier reprend graduellement ligne verte merci
45,2017-11-01 08:26:59-04:00,stm_Verte,"Bonjour, cela peut dépendre de l'endroit où vs vs trouvez dans le train. Les courants d'air sont + importants au centre qu'aux extrémités.",0,0,bonjour cela peut dépendre l'endroit trouvez dans train courants d'air sont importants centre qu'aux extrémités
46,2017-11-10 19:28:27-05:00,stm_Bleue,Arrêt ligne BLEUE entre Snowdon et St-Michel. Personne non autorisée sur la voie. Reprise prévue vers 19h50.  #stminfo  K,1,0,arrêt ligne entre snowdon st-michel personne autorisée voie reprise prévue vers
47,2017-11-10 19:32:58-05:00,stm_Bleue,Interruption en cours : vous pouvez recalculer votre itinéraire en décochant l’option métro :  http://ow.ly/DFXaI http://   #stminfo,1,0,interruption cours vous pouvez recalculer votre itinéraire décochant l’option métro
48,2017-11-10 19:33:40-05:00,stm_Bleue,Service disrupted at this time : get new travel directions by unticking métro box :  http://bit.ly/18VVvwT http://    #stminfo 1 1,0,0,service disrupted time travel directions unticking métro
49,2017-11-10 19:48:51-05:00,stm_Bleue,Service normal du métro  #stminfo  N,0,1,service normal métro
50,2017-11-15 08:07:42-05:00,stm_Verte,"Bonjour, il s'agit d'un ralentissement de service causé par une porte bloquée.  #stminfo",0,0,bonjour s'agit d'un ralentissement service causé porte bloquée
51,2017-11-17 05:34:56-05:00,stm_Bleue,Arrêt ligne BLEUE entre Snowdon et St-Michel. Problème d'équipement électrique. Reprise prévue vers 6h10.  #stminfo  D 1,1,0,arrêt ligne entre snowdon st-michel problème d'équipement électrique reprise prévue vers
52,2017-11-17 05:37:02-05:00,stm_Bleue,Service normal du métro  #stminfo  J 3,0,1,service normal métro
53,2017-11-17 16:12:51-05:00,stm_Verte,Arrêt ligne VERTE entre Pie-IX et H-Beaugrand. Inter. services d'urgence. Reprise prévue vers 16h40.  #stminfo  K 4,1,0,arrêt ligne entre pie-ix h-beaugrand inter services d'urgence reprise prévue vers
54,2017-11-17 16:17:51-05:00,stm_Verte,"Interruption en cours entre les stations Pie-IX et Honoré-Beaugrand : pour d’autres options pour vos déplacements vous pouvez utiliser le calculateur d’itinéraires (en décochant l'option métro) :  http://ow.ly/DFXaI http://   #stminfo stm.info stm.info Société de transport de Montréal Société de transport de Montréal Information en provenance de la STM. Une entreprise publique qui assure les besoins de mobilité de la population montréalaise, en offrant un réseau de transport collectif (bus et métro) performant. Information en provenance de la STM. Une entreprise publique qui assure les besoins de mobilité de la population montréalaise, en offrant un réseau de transport collectif (bus et métro) performant. 1",1,0,interruption cours entre stations pie-ix honoré-beaugrand pour d’autres options pour déplacements vous pouvez utiliser calculateur d’itinéraires décochant l'option métro stminfo stminfo société transport montréal société transport montréal information provenance entreprise publique assure besoins mobilité population montréalaise offrant réseau transport collectif métro performant information provenance entreprise publique assure besoins mobilité population montréalaise offrant réseau transport collectif métro performant
55,2017-11-17 16:24:22-05:00,stm_Verte,Interruption en cours : vous pouvez utiliser les lignes bus 85 – Hochelaga et 185 – Sherbrooke pour vous déplacer entre les stations Pie-IX et Honoré-Beaugrand.  #stminfo 2 3 1,1,0,interruption cours vous pouvez utiliser lignes hochelaga sherbrooke pour vous déplacer entre stations pie-ix honoré-beaugrand
56,2017-11-17 16:34:55-05:00,stm_Verte,Reprise graduelle du service sur la ligne VERTE.  #stminfo  M 1,1,0,reprise graduelle service ligne
57,2017-11-23 00:52:50-05:00,stm_Bleue,Arrêt ligne BLEUE entre Snowdon et St-Michel. Inter. services médicaux d'urgence. Reprise prévue vers 1h47.  #stminfo  I,1,0,arrêt ligne entre snowdon st-michel inter services médicaux d'urgence reprise prévue vers
